@relation repouso

@attribute Giro_x REAL
@attribute esc_x REAL
@attribute Giro_y REAL
@attribute esc_y REAL
@attribute Giro_z REAL
@attribute esc_z REAL
@attribute Acel_x REAL
@attribute esc_x2 REAL
@attribute Acel_y REAL
@attribute esc_y2 REAL
@attribute Acel_z REAL
@attribute esc_z2 REAL
@attribute Bus_x REAL
@attribute Bus_y REAL
@attribute movimento {repouso, leves, caminhada, monta}

@data
-15780,-0.9658203125,-1392,-0.082275390625,3348,0.21826171875,-244,-244,509,3,22,0,-4.93752308467,76.1848869226,repouso
-15824,-0.96044921875,-1420,-0.084716796875,3484,0.219970703125,-224,-224,4,0,28,0,-5.01697333712,75.4369537618,repouso
-15864,-0.965576171875,-1460,-0.08251953125,3444,0.22412109375,-248,-248,509,3,8,0,-5.16256426417,75.4205556606,repouso
-15740,-0.962890625,-1404,-0.0927734375,3596,0.233642578125,-236,-236,10,0,43,0,-5.12486038684,76.1507929134,repouso
-15752,-0.962890625,-1532,-0.08837890625,3516,0.22119140625,-234,-234,270,2,32,0,-5.14747971368,76.0944030956,repouso
-15832,-0.957275390625,-1404,-0.08837890625,3768,0.203857421875,-236,-236,486,3,51,0,-4.78229898724,76.0333617835,repouso
-15620,-0.9599609375,-1392,-0.08447265625,3676,0.22314453125,-243,-243,276,2,28,0,-4.08840478332,76.4888042675,repouso
-15744,-0.9609375,-1420,-0.080810546875,3648,0.219970703125,-246,-246,256,1,16,0,-4.86034163383,75.8815905959,repouso
-15836,-0.9658203125,-1452,-0.082763671875,3676,0.212158203125,-216,-216,311,2,28,0,-5.11944094775,76.0910330032,repouso
-16068,-0.966064453125,-1456,-0.085205078125,3472,0.20458984375,-256,-256,0,0,45,0,-4.83726519457,75.9864847263,repouso
-15712,-0.955810546875,-1384,-0.088134765625,3628,0.228515625,-210,-210,502,3,40,0,-4.76179277022,76.0943158931,repouso
-15632,-0.95703125,-1408,-0.088134765625,3396,0.2041015625,-230,-230,279,2,39,0,-4.92428005095,76.173580455,repouso
-15836,-0.958740234375,-1448,-0.08203125,3640,0.215087890625,-242,-242,230,1,17,0,-4.96024863981,75.7039821016,repouso
-15772,-0.95751953125,-1416,-0.0830078125,3608,0.22314453125,-240,-240,502,3,17,0,-4.88814641001,76.0741675548,repouso
-15692,-0.964599609375,-1448,-0.0830078125,3588,0.2177734375,-226,-226,262,2,24,0,-4.67580649583,76.1793640414,repouso
-15432,-0.983642578125,-1384,-0.086669921875,3416,0.20556640625,-215,-215,281,2,49,0,-5.24387455995,76.7945337577,repouso
-15800,-0.967529296875,-1472,-0.08447265625,3556,0.215576171875,-238,-238,268,2,39,0,-5.16480174758,77.0077796132,repouso
-15756,-0.9638671875,-1396,-0.080810546875,3496,0.215576171875,-221,-221,243,1,33,0,-4.90826250235,76.2274528004,repouso
-15812,-0.961669921875,-1456,-0.086181640625,3512,0.204833984375,-251,-251,260,1,20,0,-4.96658536086,76.0661759121,repouso
-15780,-0.963623046875,-1340,-0.0830078125,3796,0.205078125,-227,-227,213,1,31,0,-5.99139107864,75.8742966534,repouso
-15772,-0.955322265625,-1272,-0.080810546875,3480,0.2158203125,-224,-224,272,2,26,0,-5.17859359383,76.252236113,repouso
-15796,-0.95947265625,-1340,-0.082275390625,3480,0.222412109375,-242,-242,250,1,48,0,-5.06369703316,75.3956216349,repouso
-15856,-0.964111328125,-1496,-0.083740234375,3440,0.207275390625,-225,-225,285,2,50,0,-5.20349424917,76.573175129,repouso
-15748,-0.95947265625,-1416,-0.0830078125,3660,0.22265625,-245,-245,267,2,32,0,-5.04109148634,76.0508526719,repouso
-15776,-0.972900390625,-1320,-0.08984375,3584,0.22021484375,-210,-210,243,1,40,0,-3.67777482897,76.5320520056,repouso
-15648,-0.9638671875,-1320,-0.083740234375,3340,0.231689453125,-250,-250,266,2,42,0,-4.88281318254,75.6218061397,repouso
-15768,-0.96435546875,-1468,-0.0859375,3532,0.208740234375,-214,-214,236,1,10,0,-4.95592127247,75.8657776706,repouso
-15716,-0.9638671875,-1328,-0.08251953125,3372,0.22607421875,-232,-232,288,2,-240,-2,-4.75621209606,75.6376653947,repouso
-15756,-0.958251953125,-1344,-0.083984375,3564,0.220947265625,-246,-246,257,1,10,0,-5.21324775476,75.5534118084,repouso
-15780,-0.95556640625,-1432,-0.084228515625,3656,0.232421875,-243,-243,246,1,40,0,-4.90477596173,76.2184202329,repouso
-15836,-0.9609375,-1376,-0.08740234375,3752,0.205078125,-5,-5,237,1,12,0,-4.73560810821,76.4145722838,repouso
-15748,-0.964111328125,-1340,-0.08349609375,3568,0.219482421875,-197,-197,0,0,-236,-2,-4.84676774284,76.0580555422,repouso
-15788,-0.958251953125,-1408,-0.08544921875,3648,0.223388671875,-296,-296,393,3,41,0,-4.95971835784,76.4711268795,repouso
-15648,-0.958740234375,-1440,-0.07861328125,3540,0.228271484375,-377,-377,193,1,43,0,-4.93886156503,75.8937140109,repouso
-15680,-0.962646484375,-1408,-0.085205078125,3732,0.2265625,-248,-248,270,2,15,0,-5.34514891602,75.7452151779,repouso
-15668,-0.961181640625,-1484,-0.08203125,3592,0.22607421875,-225,-225,5,0,27,0,-5.23503003384,75.8999515369,repouso
-16000,-0.971923828125,-1364,-0.0927734375,3184,0.21533203125,-189,-189,-102,-1,-21,-1,-4.89173434704,76.188208349,repouso
-15728,-0.958251953125,-1508,-0.0859375,3348,0.223388671875,-504,-504,6,0,15,0,-5.03762995597,76.0620683475,repouso
-15764,-0.9609375,-1392,-0.080078125,3584,0.22119140625,-239,-239,4,0,10,0,-5.05019086153,76.6613494953,repouso
-15992,-0.9560546875,-1388,-0.08837890625,3688,0.222412109375,-226,-226,245,1,33,0,-5.08786268731,75.8409506951,repouso
-15812,-0.963623046875,-1376,-0.0869140625,3332,0.230224609375,-7,-7,286,2,31,0,-4.94570252402,76.2998183817,repouso
-15764,-0.961181640625,-1384,-0.08251953125,3436,0.21630859375,-233,-233,233,1,10,0,-4.72287567192,77.1440100202,repouso
-14996,-0.92529296875,912,0.06689453125,1344,0.121337890625,4480,4480,7462,56,9383,71,0.818679456096,51.6071386286,leves
-16580,-1.02026367188,-2704,-0.174072265625,2216,0.1318359375,1828,1828,1276,9,-1035,-8,-10.9008436473,72.5528464076,leves
